"samples","Aliphatic_(#)","Aliphatic_(%)","Aliphatic_(%RA)","CHO.1_(#)","CHO.2","CHON_(#)","CHON_(%)","CHOS_(#)","CHOS_(%)","CHO_(#)","CHO_(%)_(%)","Condensed_aromatics_(#)","Condensed_aromatics_(%)","Condensed_aromatics_(%RA)","Highly_Unsaturated_and_Phenolic_(#)","Highly_Unsaturated_and_Phenolic_(%)","Highly_Unsaturated_and_Phenolic_(%RA)","Num.formula_(#)","Peptide_(#)","Peptide_(%)","Peptide_(%RA)","Polyphenolic_(#)","Polyphenolic_(%)","Polyphenolic_(%RA)","Sugars_(#)","Sugars_(%)","Sugars_(%RA)","AI_WeightedAve","AImod_WeightedAve","AveMass","HC_WeightedAve","Mass_WeightedAve","NC_WeightedAve","NOSC_WeightedAve","OC_WeightedAve"
"L313",681,9.25649041728966,9.4922109946361,4652,63.2322957727335,2183,29.6724208237053,522,7.09528340356123,4652,63.2322957727335,209,2.84083186081283,3.26908296773554,5157,70.096506728286,165.779450422001,7357,436,5.92632866657605,1.70784149602192,745,10.1264102215577,17.0628926897363,101,1.37284219111051,0.455106957087991,0.0589714115696381,0.296819489081461,530.878963251869,1.12985767584422,450.69513193833,0.0059307045389243,-0.0282664394740908,0.540735693072196
"L314",564,7.99886540916182,8.2573236168697,4688,66.4870231172883,1879,26.6487023117288,484,6.86427457098284,4688,66.4870231172883,199,2.82229470997022,2.80239779103367,5193,73.6491277832932,169.795883476476,7051,230,3.26194865976457,1.00457479048938,733,10.3956885548149,16.1592608397234,103,1.46078570415544,0.455792533457666,0.0562318543932048,0.296468643660697,542.87032976202,1.12630300706819,454.803364397305,0.00496997718488031,-0.0210147282641148,0.544094882698215
"L315",470,7.45794985718819,7.16312725629646,4316,68.486194858775,1627,25.8172008886068,359,5.69660425261822,4316,68.486194858775,169,2.68168835290384,2.6160841720266,4561,72.3738495715646,170.583034285175,6302,360,5.71247223103777,1.38539732010106,622,9.8698825769597,15.6023190888497,108,1.71374166931133,0.617667759845169,0.0500670939629762,0.296574631439164,540.560725968899,1.12033036460609,451.754759807978,0.00426978696406897,0.00622195610417921,0.55592020534567
"L316",446,7.5286968264686,7.63757487563036,4096,69.1424713031735,1500,25.320729237002,328,5.53679945982444,4096,69.1424713031735,173,2.92032410533423,2.86435583336601,4210,71.0668467251857,169.614319846881,5924,386,6.51586765698852,1.45464686411926,587,9.90884537474679,15.8035163397172,107,1.80621201890615,0.56627199632137,0.0525209370034839,0.296446527262337,531.536742491897,1.12506573772732,442.33240015357,0.00392618957048363,-0.00769334037405237,0.551855868320347
"L317",609,9.05172413793104,9.57713941206349,4287,63.7187871581451,1938,28.8049940546968,503,7.47621878715815,4287,63.7187871581451,196,2.91319857312723,3.64263140270511,4681,69.5749108204519,164.711943759018,6728,439,6.52497027348395,1.65875689903711,667,9.91379310344827,17.7140151638864,102,1.51605231866825,0.477273091662054,0.0588197249036391,0.297960753318401,525.14677969783,1.12858031074888,436.469334123605,0.0054933728494327,-0.0177078204097443,0.545950108977087
"L318",461,7.19300982992667,6.46558720331363,4297,67.0463410828522,1602,24.9960992354501,510,7.95755968169761,4297,67.0463410828522,189,2.94897799968794,2.718029799944,4660,72.710251209237,172.390309412837,6409,245,3.82274925885474,0.728985028700105,675,10.5320642845998,15.0721396259549,146,2.27804649711343,0.907383668359683,0.0466712922657721,0.295051994014682,535.810326694804,1.10739087048098,451.215589450682,0.00391489481405278,0.0599806203776945,0.57656322281648
"L319",339,6.00531443755536,5.40407716647654,4287,75.9433126660762,1034,18.3170947741364,324,5.73959255978742,4287,75.9433126660762,184,3.25952170062002,2.85023044670423,4247,75.2347209920283,173.441026662212,5645,69,1.22232063773251,0.220865874171484,645,11.4260407440213,15.9617093638181,130,2.30292294065545,0.910689935103961,0.0482457965997622,0.303648362249082,551.280433533392,1.09318191507481,456.967923857858,0.00248838827799038,0.0728589612027153,0.578371727679355
"L320",449,7.08201892744479,7.58197910958199,4520,71.2933753943218,1446,22.807570977918,374,5.89905362776025,4520,71.2933753943218,254,4.00630914826498,4.37513477865618,4463,70.3943217665615,164.818093913073,6340,207,3.26498422712934,0.656826582062101,780,12.3028391167192,19.776142788801,144,2.27129337539433,1.00944050435277,0.0589783378391978,0.310481390816646,535.575299283439,1.09043570415287,449.559871891468,0.00353205949913063,0.0632615256859222,0.57051518552571
"LR01",427,7.46764603008045,8.19720503863532,4118,72.0181881776845,1301,22.7527107380203,299,5.22910108429521,4118,72.0181881776845,221,3.86498775795733,4.14928906429787,3984,69.6747114375656,164.263799536164,5718,299,5.22910108429521,1.15311265651539,659,11.5250087443162,19.7197863297206,98,1.71388597411683,0.639853991313575,0.0597544494923828,0.30827619057365,526.347636768276,1.10461057414205,439.029720174602,0.00343957663184412,0.0255159762573719,0.558931212774102
"LR05",415,7.58406432748538,8.48570499355826,4000,73.0994152046784,1188,21.7105263157895,284,5.19005847953216,4000,73.0994152046784,227,4.1483918128655,4.7152188817789,3760,68.7134502923976,161.697077085877,5472,288,5.26315789473684,1.3104663080915,667,12.1893274853801,21.4223150957158,86,1.57163742690058,0.485800842390557,0.0653226263446871,0.314216492852168,524.174900800439,1.10104192505278,439.288079227368,0.00326264918143418,0.0132424824492363,0.551315868195324
