"samples","Aliphatic_(#)","Aliphatic_(%)","Aliphatic_(%RA)","CHONS_(#)","CHONS_(%)","CHON_(#)","CHON_(%)","CHOS_(#)","CHOS_(%)","CHO_(#)","CHO_(%)","Condensed_aromatics_(#)","Condensed_aromatics_(%)","Condensed_aromatics_(%RA)","Highly_Unsaturated_and_Phenolic_(#)","Highly_Unsaturated_and_Phenolic_(%)","Highly_Unsaturated_and_Phenolic_(%RA)","Num.formula_(#)","Peptide_(#)","Peptide_(%)","Peptide_(%RA)","Polyphenolic_(#)","Polyphenolic_(%)","Polyphenolic_(%RA)","Sugars_(#)","Sugars_(%)","Sugars_(%RA)","AI_WeightedAve","AImod_WeightedAve","AveMass","HC_WeightedAve","Mass_WeightedAve","NC_WeightedAve","NOSC_WeightedAve","OC_WeightedAve"
"HW37",345,3.77337854096029,2.65166165359296,0,0,3248,35.524444930548,575,6.28896423493383,5320,58.1865908345182,245,2.67964563053702,1.57481601922606,6967,76.2003718691895,175.25783710871,9143,344,3.76244121185607,1.36391017548403,960,10.4998359400634,16.0565667703227,282,3.08432680739363,0.865649048589908,0.0420410530912375,0.302811638886109,621.653049418025,1.06462396573536,568.25560298152,0.00574320519768125,0.140244562250367,0.593088535533431
"HW41",811,6.79969816382996,4.94804510300278,234,1.96193510522344,3795,31.8185629244571,1567,13.1382577345519,6331,53.0812442357676,505,4.23409071853777,2.71324218204682,8730,73.1952712333362,172.692594897356,11927,197,1.65171459713256,0.272904442797114,1451,12.1656745199966,18.3755720188987,233,1.95355076716693,0.362368456550736,0.0546827441967735,0.314486616369945,585.315840443196,1.07472790418472,512.571423633992,0.00421345913601508,0.0677769400033111,0.563203544622675
"HW42",1149,8.68612035077109,7.54992105264602,298,2.25279709706683,4174,31.5542788025401,2808,21.2276988206834,5948,44.9652252797097,333,2.51738736014514,1.60043075875078,9823,74.2591472633807,176.74030424899,13228,484,3.65890535228304,1.23064954961301,1176,8.89023283943151,10.823380956458,263,1.98820683398851,0.41233194196474,0.0468489918433855,0.277652012532395,578.645234762625,1.15411261109574,491.040812974346,0.00735973138770217,-0.0716863138902835,0.525866773408951
"HW43",471,4.4750593824228,3.0727747091928,0,0,3833,36.4180522565321,1054,10.0142517814727,5638,53.5676959619953,364,3.458432304038,2.48741754462796,7885,74.9168646080761,170.134743337851,10525,341,3.23990498812352,1.01729168460234,1226,11.6484560570071,21.311332579284,238,2.26128266033255,0.479574229919601,0.0531214323525968,0.322339869863293,606.859327121425,1.04498012879121,548.041224367779,0.00559654000047894,0.14433983843945,0.585123672137022
"L328.1",251,4.02372555306188,3.29117742830452,0,0,1156,18.5315806348189,0,0,5082,81.4684193651811,224,3.59089451747355,2.28077043912084,4917,78.8233408143635,175.842963481082,6238,40,0.641231163834562,0.095306639028566,769,12.3276691247195,18.1909123902928,37,0.59313882654697,0.101781491571508,0.0564039983096723,0.319369435173233,618.733759767714,1.06510929684879,555.730072563049,0.00172653616952847,0.0578350836045271,0.55888238597226
"L328.2",144,3.41637010676157,2.62906100391394,0,0,0,0,0,0,4215,100,123,2.91814946619217,1.87611677751426,3439,81.5895610913405,178.256564089935,4215,0,0,0,504,11.9572953736655,17.1940744312759,5,0.118623962040332,0.0220918486806634,0.0539744819628342,0.318800610881708,641.577154355872,1.06319696765981,588.446950343894,0,0.0498006259240144,0.556498796791798
"L329.1",151,3.41011743450768,2.69778012280298,0,0,135,3.04878048780488,0,0,4293,96.9512195121951,148,3.3423667570009,2.45725570130394,3574,80.713640469738,175.727068166941,4428,1,0.022583559168925,0.00355036819471093,550,12.4209575429088,19.077056406336,4,0.0903342366757001,0.0168694331132043,0.0567936585884478,0.324570774796559,635.551451234192,1.05447018513517,577.051356019005,0.000334329062142331,0.0667432813234601,0.560105239635994
"L329.2",181,3.60485958972316,3.00613717131322,0,0,531,10.5755825532762,0,0,4490,89.4244174467238,173,3.44552877912767,2.48081641538322,4036,80.3823939454292,175.403733120414,5021,10,0.199163513244374,0.0323541034252438,612,12.1888070105557,18.9773320389132,9,0.179247161919936,0.0336365235630673,0.0576705928212259,0.322104660235256,627.425805786696,1.06140540580417,564.866410410509,0.00110536501726583,0.0557476957111749,0.556918503231666
"L330_C1",359,5.44847473061163,4.8503334482696,0,0,1541,23.3874639550766,0,0,5048,76.6125360449233,179,2.71664896038853,2.19596669921768,5173,78.509637274245,175.081444869652,6589,141,2.13993018667476,0.421094496636306,718,10.8969494612233,16.9489604527964,19,0.288359386856882,0.0405527683959414,0.0550148596060912,0.306879574505924,615.987854800425,1.09192776071829,546.909663598864,0.00266254507376035,0.0139284596047193,0.548934292550758
"L332",553,5.05438259756878,4.3301115273114,0,0,4299,39.2925692349877,991,9.05767297322,5651,51.6497577917923,336,3.07101727447217,2.81788935438599,8236,75.2764829540261,170.019748222294,10941,497,4.54254638515675,1.71027596440504,1113,10.1727447216891,18.4808290354702,206,1.8828260670871,0.465434965864216,0.0538475001563911,0.304934755052697,606.148635362033,1.08570746593652,523.490036117089,0.00688168985031343,0.0742695495986513,0.568524314155056
"L333",553,4.92211838006231,4.11591467118444,0,0,4494,40,997,8.87405429461504,5744,51.125945705385,339,3.0173564753004,2.65736125622112,8519,75.8255451713396,171.020443862724,11235,483,4.29906542056075,1.58710470255756,1131,10.0667556742323,18.0835500286215,210,1.86915887850467,0.474260388067067,0.0524497726915013,0.305080337369957,608.088269163329,1.08335184582744,526.237678371135,0.00690192296097554,0.0811420112479278,0.570758995432069
"L335.2",890,7.24460724460725,5.6378800637862,245,1.99430199430199,3761,30.6145706145706,1951,15.8811558811559,6328,51.5099715099715,601,4.8921448921449,4.20651313526342,8928,72.6739926739927,167.114163450056,12285,157,1.27798127798128,0.139843738641149,1499,12.2018722018722,22.2562923569602,210,1.70940170940171,0.25273175832594,0.0601472105610535,0.32569142895104,585.741947106064,1.05789167736936,501.676932511882,0.00352397228040438,0.0972812270698888,0.57053012673342
"L336.2",614,5.73028464769015,4.52039633159184,0,0,3737,34.8763415772282,1173,10.9472701819879,5805,54.1763882407839,446,4.16238917405506,4.28769945249546,7797,72.7671488567429,163.335601413984,10715,381,3.55576294913672,1.12949851859827,1251,11.6752216518899,24.6878972007002,226,2.1091927204853,0.45470428201569,0.0629112058711901,0.328145805541057,594.824715268595,1.05131797492607,515.262315373807,0.00515011794851342,0.114491065297713,0.5739064715477
"L337",628,5.96278009874667,4.79621287002014,0,0,3660,34.7512343334599,1052,9.98860615267755,5820,55.2601595138625,466,4.42461071021649,4.61728141862477,7522,71.4204329661983,161.818433003349,10532,421,3.99734143562476,1.29090574177353,1277,12.1249525256362,25.3022530101004,218,2.06988226357767,0.442004107179589,0.0664412465638336,0.328112025531578,596.643301791303,1.05380416125815,513.17140033887,0.00502290526976912,0.105675460475766,0.571093858034591
