"site","X","Y","date","transect_distance_m","area_m2","velocity_m_s","avg_velocity","discharge_m3_s"
"B00",-63.40377036,50.90207736,"6/13/2021",0,0,0,0,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",1.7,0.425,1.003,0.5015,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",2.4,0.378,1.103,1.053,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",3.3,0.504,0.468,0.7855,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",4.5,0.576,0.339,0.4035,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",5.5,0.41,0.764,0.5515,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",6.05,0.21725,-0.027,0.3685,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",6.6,0.16775,0.739,0.356,2.544864
"B00",-63.40377036,50.90207736,"6/13/2021",8.9,0.253,0,0.3695,2.544864
"B00",-63.40377036,50.90207736,"8/17/2021",0,0,0,0,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",1,0.17,0,0,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",1.5,0.145,0.477,0.2385,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",2,0.1025,0.518,0.4975,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",2.5,0.1025,0.488,0.503,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",3,0.12,0.65,0.569,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",3.5,0.1225,0.696,0.673,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",4,0.1275,0.245,0.4705,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",4.5,0.1425,0.286,0.2655,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",5,0.1475,0.484,0.385,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",5.5,0.1225,0.36,0.422,0.75561125
"B00",-63.40377036,50.90207736,"8/17/2021",6,0.08,0,0.18,0.75561125
"B00",-63.40377036,50.90207736,"10/7/2021",0,0,0,0,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",1.2,0.54,1.297,1.297,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",2.1,0.81,1.128,1.128,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",2.85,0.61875,0.166,0.166,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",4,NA,NA,NA,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",5,NA,NA,NA,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",6,NA,NA,NA,7.254603
"B00",-63.40377036,50.90207736,"10/7/2021",7,NA,NA,NA,7.254603
