"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","soil.type","lat","long","km.hq","flow.distance","position","depth","depth.satellite","secchi","width","elevation","elevation.gis","flow.accumulation.max","velocity.drifting.est","velocity.drifting.calc","discharge.daily.hq","velocity.daily","discharge.camp.hq","velocity.camp","velocity.stream","discharge.calc","Seepage.meters.Q","strahler.stream.order","slope","distance.to.water.body","distance.from.mouth","catchment.area","atm.pressure.ysi","temp.water.ysi","do.perc.ysi","do.cor.perc.ysi","do.conc.ysi","cond.ysi","ph.ysi","alkalinity","wind.max.kestrel","wind.avg.kestrel","temp.air.kestrel","humidity.rel.kestrel","pressure.atm.kestrel","bact.abundance","bact.abundance.se","bact.production","chla","chla.se","TP","TP.se","TN","TN.se","NH4","NH4.se","NOx","NOx.se","NO2","NO2.se","NO3","NO3.se","Fe","DOC","DOC.se","DIC","DIC.se","lability","lability.se","photodegradability.conc","photodegradability.perc","C1","C2","C3","C4","C5","C6","CDOM","pco2.headspace","pco2.headspace.se","pch4.headspace","pch4.headspace.se","pco2.headspace.pic","pco2.headspace.pic.se","pch4.headspace.pic","pch4.headspace.pic.se","pn2o.headspace","pn2o.headspace.se","flux.co2","flux.ch4","kco2.flux","kch4.flux","k600","kch4.k600","Rn","Rn.se","d13C.co2","d13C.co2.se","d13C.ch4","d13C.ch4.se","d2H.h2o","dO18.h2o","dO17.h2o","d13C.DOC","d13C.DIC","POM.PIM","POM.PIM.se","POM","PIM","POM.N.perc","POM.C.perc","POC","d13C.POM","Comments","sample.type.year","Season"
"L328.1",NA,"L328_1","L",2016,1,164,"2016-06-12","Lake",NA,50.57727,-63.46136,NA,NA,NA,"67.099999999999994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4842527545016,1.164532461488,743.6,6.77,95.8,106.160623368806,12.68,33,5.93,30.0498864905761,4.7,3.9,18.2,54.1,1002.3,715750,4750,0.805279345697113,0.594425,0.019174999999998,5.10491195456803,0.339805191876726,0.310994,NA,17.1689435,0.028791499999577,NA,NA,NA,NA,NA,NA,30.519,5.4133487007544,0.0843461860855058,0.905280804694049,0.012573344509635,NA,NA,NA,NA,"0.129477930893171",0.0724755497931909,0.0815902674598844,0.0524401397656824,0.0145667642879991,NA,2.87875,863.789215673001,1.48476893262085,10.0602601230376,0.0507948028158056,685.496698951433,20.9306090358731,7.18466590710733,0.276756674881701,NA,NA,234.930302152634,0.170072124494877,8.57722405745827,9.95986650841558,12.4143845522859,14.4492665075424,12.1635584996873,15.5932486834802,-19.0487196763433,0.371961502662156,-68.724008011067,6.52563682697783,-75.367182,-11.065578,NA,-27.04,-17.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Spring"
"L328.2",NA,"L328_2","L",2016,1,164,"2016-06-12","Lake",NA,50.46541,-63.57906,NA,NA,NA,"25.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2943275828701,3.648938403594,744.3,9.5,98.9,109.048163615515,12.2,26,5.97,1.70461286867191,2.7,1.2,17.8,48.7,1003.4,NA,NA,NA,0.986142857142857,0.164357142857143,4.62918468594061,NA,0.2760845,0.0053745,NA,NA,NA,NA,NA,NA,NA,NA,27.207,5.65381391450126,0.0628667225481783,0.773784576697401,0.0225272422464355,NA,NA,NA,NA,"0.127137776567123",0.0678614001975629,0.0802941804308889,0.0531061127857158,0.019607176464704,NA,2.7636,739.102939317198,26.0967912573851,7.61094651772697,0.0851025898311177,586.688802328994,17.3154960740127,5.22367161691499,0.156791537666285,NA,NA,217.772648749419,0.152788982378864,12.0438514367915,13.4639277330065,17.6588068206345,19.8686767354624,NA,NA,-16.8056972402891,0.211082934835346,-64.4196082305327,1.19399999700457,-74.627719,-10.898521,NA,-27,-17.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Spring"
"L329.1",NA,"L329_1","L",2016,1,164,"2016-06-12","Lake",NA,50.5621,-63.30718,NA,NA,NA,"36.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4560903103175,0.413161971277,746.5,10,97,98.745338933402,10.95,11,5.66,-2.98804827556988,2.4,1.6,19.8,48.7,1006.2,NA,NA,NA,0.986142857142857,0.273928571428572,8.23111971983391,1.29125972913156,0.203135,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.042,6.30919949706622,0.0183361274099999,0.764354568315172,0.000523889354533539,NA,NA,NA,NA,"0.154903781152005",0.0778711040750361,0.0966850731465229,0.0560377641779139,0.0195068799571225,NA,3.33935,909.00766206067,1.97392466601218,18.7400960370433,0.169989991798767,770.484646012746,9.01193005506762,14.6725733645074,0.276818430516767,NA,NA,139.005129920607,0.197823618939036,5.16859009881974,5.92389983542242,7.42912415094022,8.57511014016673,NA,NA,-19.3563861441941,0.120722621627366,-57.7545519588339,0.484397146423182,-77.193049,-11.311333,NA,-27.58,-20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Spring"
"L329.2",NA,"L329_2","L",2016,1,164,"2016-06-12","Lake",NA,50.47179,-63.42405,NA,NA,NA,"7.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8717873594184,5.105645663734,746.1,7.8,92.7,99.5436735959714,11.63,13,5.76,-5.16176546929096,1.9,1.4,17.8,47.5,1005.7,898000,4500,0.801119844944547,0.547857142857143,0.109571428571429,6.39617168369959,NA,0.229455,0.019227,8.479074,NA,NA,NA,NA,NA,NA,NA,69.767,5.42068315171836,0.0277661357919849,0.772736797988265,0.00995389773679531,NA,NA,NA,NA,"0.138835752198621",0.0729245893504981,0.085834496653245,0.0492781048898857,0.0222382661950609,NA,2.7636,812.060657187627,13.4269165108573,5.76893576732074,0.0493520830509828,725.796121891637,10.9518235682867,5.66280350610735,0.224191143022539,NA,NA,97.9463484564802,0.0318224504749563,4.18399007879131,3.88899206597945,6.56876485040331,6.13235553161632,13.8446607836092,21.3629791116427,-19.1616389359296,0.122364836749246,-61.1107813942172,2.27862372838106,-75.592572,-11.138946,NA,-27.37,-18.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Spring"
"L330_C1",NA,"L330_C1","L",2016,1,165,"2016-06-13","Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7336599551436,NA,NA,NA,NA,NA,717937.5,937.5,3.12473828410083,1.49565,0.191749999999999,8.77480802683668,0.339805191876731,0.2235645,0.0116345,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87625733445096,0.0591994970662114,0.571039396479464,0.0167644593461842,NA,NA,NA,NA,"0.0881480195417343",0.0577327025618426,0.0574295073601433,0.0335617961284786,0.0225969882156211,NA,1.26665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.526663,-13.330828,NA,-26.66,-18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Spring"
"LR49",NA,"LR49","LR",2016,1,154,"2016-06-02","HeadwaterLakes",NA,52.35835,-63.9938,368.342529297,NA,"lac Brulé","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.267412747084,26.718312402947,726.5,7.9,100.1,104.679886014207,11.88,10,6.2,15.7880418156721,4,2.3,9,96.8,NA,1006250,9916.66666666663,1.2066711683199,1.2272,0,10.813639178097,1.56310388263294,0.3722825,0.0557804999999999,NA,NA,NA,NA,NA,NA,NA,NA,231.749,6.34077916578446,0.0651069235655749,1.18833368621639,0.000529324581824903,NA,NA,NA,NA,"0.137233458287027",0.0820675792530375,0.078059927338514,0.0647791282885448,0.0347027279079569,NA,3.9151,733.623811378271,1.85044461786862,39.4895720689514,0.339249642140125,610.068709302617,11.4299269260614,34.0836239997518,1.04515100780216,NA,NA,60.3493326257396,0.325493254820219,3.21009266559096,4.21662704218974,5.01938337689865,6.62290167558044,33.1784031914062,31.4994942496887,-17.9560457478929,0.170979339898747,-66.1813417001848,1.12043840705851,-115.950348,-15.888529,NA,-26.8,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riverine Lakes","Spring"
"LR50",NA,"LR50","LR",2016,1,154,"2016-06-02","HeadwaterLakes",NA,52.12788,-63.70666,332.620452881,NA,"lac Laudière","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.69051839199,41.546014161003,725.5,6.24,90.5,94.5848933605189,11.17,11,6.28,36.8951844795471,2.4,1.9,11.8,95.9,NA,1135800,11000,0.299484054184877,0.9204,0,9.38645737221479,0.135922076750636,0.189341,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.057,6.29155197967394,0.0846919330933688,1.54827440186322,0.0153504128731681,NA,NA,NA,NA,"0.142124498183674",0.0881539252197351,0.0801450851743758,0.0634602792892908,0.0278629273880832,NA,4.3757,1063.87289929118,3.76663958513166,44.3759383728552,0.606845748002364,869.108290224178,8.72263229394129,40.4851248445475,0.245347652213305,NA,NA,176.882091717021,0.465998653476966,4.40329729976362,5.06417978997889,7.36722248962143,8.49391269149811,28.2121671795693,28.8943821621407,-20.9348539811712,0.131042221555849,-63.1548917482026,0.247386266210913,-116.067561,-15.963044,NA,-26.93,-17.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riverine Lakes","Spring"
"LR51",NA,"LR51","LR",2016,1,154,"2016-06-02","HeadwaterLakes",NA,52.05113,-63.70082,321.865356445,NA,"lac Anderson","7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.487866413227,57.645428909365,724.9,6.29,90.8,95.4611870365366,11.25,11,6.4,36.401460861615,2.4,1.8,13,95.3,NA,1343500,8000,1.77707737152202,1.0738,0,8.16315868145857,0.271844153501377,0.242597,0.013654,7.348391,NA,NA,NA,NA,NA,NA,NA,316.142,6.4958712682617,0.00846919330919845,1.41700190556849,0.000529324581405417,NA,NA,NA,NA,"0.145924113426101",0.0901788077019207,0.0893294083482779,0.0692942921059827,0.0280046258609139,NA,3.9151,960.856301558482,1.37608238848247,33.4594341372734,0.0793946127832399,780.147647940319,22.7305486264081,28.5660957886831,1.35610303097651,NA,NA,149.928846550786,0.360012907875143,4.43570977205518,5.29243644561376,7.40625800082839,8.85911852844025,29.8568367970704,24.9676305810994,-20.1625955189581,0.149974964727826,-62.2744520391844,0.777407688815809,-113.219225,-15.42763,NA,-26.79,-15.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riverine Lakes","Spring"
"LR52",NA,"LR52","LR",2016,1,155,"2016-06-03","HeadwaterLakes",NA,52.0863,-63.83093,310.275817871,NA,"lac","8.8000000000000007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.390150968044,58.213853773526,723.6,6.01,37.8,39.587474418278,4.69,12,5.96,NA,5.6,4.2,9.4,63.9,972.5,1161600,9200,0.943929370782705,1.2272,0.3068,10.3379119094696,NA,0.1930965,0.00464150000000001,NA,NA,NA,NA,NA,NA,NA,NA,204.871,6.41753123015033,0.0307008257462494,1.6393182299386,0.0291128520008502,NA,NA,NA,NA,"0.145447030248032",0.0897404516559838,0.092358788142323,0.0662638011411692,0.0236689687968793,NA,3.6848,1109.34228676192,13.455088208979,29.8702712826811,0.132007404515541,920.300221727053,7.19213528769127,24.2518096620815,0.98161154379507,NA,NA,177.205520473003,0.298614889790337,4.09121590940187,4.89586266975678,6.06135636645204,7.26542314412269,19.9245185661883,19.2062958061832,-20.9910778645052,0.270286378722055,-57.6447420326768,0.885484521684969,-112.669648,-15.377463,NA,-27.56,-17.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riverine Lakes","Spring"
"LR53",NA,"LR53","LR",2016,1,155,"2016-06-03","River",NA,52.05905,-63.84372,306.602600098,NA,"middle","11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.227878275683,62.035169058225,724.3,5.94,70.8,75.170458415752,8.93,12,6.31,NA,3.8,2.8,8.9,67.5,973.9,1164600,13200,1.41589405617406,1.2272,NA,8.70684698846133,0.679610383753442,0.2258425,0.0167445,25.9373535,3.41815750000001,NA,NA,NA,NA,NA,NA,339.768,6.51492695320771,0.0539911073469627,1.76688545416049,0.0105864916366868,NA,NA,NA,NA,"0.145630955576087",0.0867946025433324,0.090935253850819,0.0637085373237264,0.0235084695383348,NA,3.56965,1019.38568474766,0.145226421698908,22.0045507079821,0.158482591772522,897.953469400089,35.4315336286472,17.2284307602878,0.94220301462802,NA,NA,178.85634881865,0.240605998484536,4.72481962858842,5.4701125249971,8.00306790585756,9.28502893012417,19.7540567377672,26.6322551472866,-20.9661706047021,0.229006834674815,-59.3505129888406,0.368020258648286,-112.038441,-15.355465,NA,-27.7,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upriver","Spring"
