FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
51760;452468;452468;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51764;452491;452491;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51765;452492;452492;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51766;452493;452493;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51770;452538;452538;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51774;452568;452568;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51778;452586;452586;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51782;452609;452609;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51787;452636;452636;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51799;452673;452673;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51800;452674;452674;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51815;452711;452711;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51816;452712;452712;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51817;452713;452713;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51818;452714;452714;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51819;452715;452715;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51820;452716;452716;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51821;452717;452717;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51822;452718;452718;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51823;452719;452719;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51824;452720;452720;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51825;452721;452721;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51826;452722;452722;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51827;452723;452723;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51828;452724;452724;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51829;452725;452725;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51830;452726;452726;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51831;452727;452727;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51832;452728;452728;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51833;452729;452729;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51834;452730;452730;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51835;452731;452731;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51836;452732;452732;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51837;452733;452733;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51838;452734;452734;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51839;452735;452735;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51840;452736;452736;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51841;452737;452737;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51842;452738;452738;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51843;452739;452739;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51844;452740;452740;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51845;452741;452741;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51846;452742;452742;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51847;452743;452743;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51848;452744;452744;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51849;452745;452745;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51850;452746;452746;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51851;452747;452747;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51852;452748;452748;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51853;452749;452749;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51857;452894;452894;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51858;452895;452895;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51862;452932;452932;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51863;452933;452933;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51864;452934;452934;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51868;452961;452961;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51869;452962;452962;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51873;452992;452992;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51877;453024;453024;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51878;453025;453025;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51882;453058;453058;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51883;453059;453059;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51887;453090;453090;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51888;453091;453091;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51889;453092;453092;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51893;453115;453115;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51898;453143;453143;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51899;453144;453144;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51910;453172;453172;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51911;453173;453173;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51912;453174;453174;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51916;453196;453196;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51917;453197;453197;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51921;453219;453219;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51922;453220;453220;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51926;453241;453241;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51929;453261;453261;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51930;453262;453262;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51937;453288;453288;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51938;453289;453289;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51945;453315;453315;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51946;453316;453316;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51952;453341;453341;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51953;453342;453342;-9999;-9999,000000000000000;-9999,000000000000000;-9999
