FID;arcid;grid_code;from_node;to_node;start_x;start_y;end_y;end_x
0;1;1;3;4;-63,591562500000002;52,842604166699999;52,837083333300001;-63,588749999999997
1;2;1;1;4;-63,614062500000003;52,871770833299998;52,837083333300001;-63,588749999999997
2;3;1;4;6;-63,588749999999997;52,837083333300001;52,833333333299997;-63,588958333299999
3;4;1;2;6;-63,567812500000002;52,849375000000002;52,833333333299997;-63,588958333299999
4;5;1;7;8;-63,622187500000003;52,832916666700001;52,832916666700001;-63,617916666699998
5;6;1;5;8;-63,625937499999999;52,834479166700000;52,832916666700001;-63,617916666699998
6;7;1;8;9;-63,617916666699998;52,832916666700001;52,823124999999997;-63,610833333300000
7;8;1;11;9;-63,645833333299997;52,816145833299998;52,823124999999997;-63,610833333300000
8;9;1;6;13;-63,588958333299999;52,833333333299997;52,812083333300002;-63,596666666700003
9;10;1;10;13;-63,571770833300000;52,823229166700003;52,812083333300002;-63,596666666700003
10;11;1;12;14;-63,577395833300002;52,814583333300000;52,809166666700001;-63,593750000000000
11;12;1;13;15;-63,596666666700003;52,812083333300002;52,808750000000003;-63,594166666699998
12;13;1;14;15;-63,593750000000000;52,809166666700001;52,808750000000003;-63,594166666699998
13;14;1;9;17;-63,610833333300000;52,823124999999997;52,805624999999999;-63,609791666699998
14;15;1;20;14;-63,572395833300000;52,803333333300003;52,809166666700001;-63,593750000000000
15;16;1;16;17;-63,620104166700003;52,805729166699997;52,805624999999999;-63,609791666699998
16;17;1;15;22;-63,594166666699998;52,808750000000003;52,794583333299997;-63,598541666700001
17;18;1;21;22;-63,570937499999999;52,797291666699998;52,794583333299997;-63,598541666700001
18;19;1;18;26;-63,655312500000001;52,804791666699998;52,792708333299998;-63,658958333299999
19;20;1;25;26;-63,658437499999998;52,793229166700002;52,792708333299998;-63,658958333299999
20;21;1;22;27;-63,598541666700001;52,794583333299997;52,792083333299999;-63,605416666700002
21;22;1;28;27;-63,604479166700003;52,792083333299999;52,792083333299999;-63,605416666700002
22;23;1;17;29;-63,609791666699998;52,805624999999999;52,791874999999997;-63,605625000000003
23;24;1;27;29;-63,605416666700002;52,792083333299999;52,791874999999997;-63,605625000000003
24;25;1;23;30;-63,615520833300003;52,794166666700001;52,791041666700004;-63,614583333299997
25;26;1;29;30;-63,605625000000003;52,791874999999997;52,791041666700004;-63,614583333299997
26;27;1;26;31;-63,658958333299999;52,792708333299998;52,788541666699999;-63,660833333299998
27;28;1;32;31;-63,652187499999997;52,787395833300003;52,788541666699999;-63,660833333299998
28;29;1;34;35;-63,698958333299998;52,783958333299999;52,783958333299999;-63,684375000000003
29;30;1;35;36;-63,684375000000003;52,783958333299999;52,783958333299999;-63,682916666700002
30;31;1;33;36;-63,691770833299998;52,784999999999997;52,783958333299999;-63,682916666700002
31;32;1;38;34;-63,704479166699997;52,782395833300001;52,783958333299999;-63,698958333299998
32;33;1;19;39;-63,693229166700000;52,803750000000001;52,782499999999999;-63,661875000000002
33;34;1;31;39;-63,660833333299998;52,788541666699999;52,782499999999999;-63,661875000000002
34;35;1;40;34;-63,719895833300001;52,781354166699998;52,783958333299999;-63,698958333299998
35;36;1;24;41;-63,627187499999998;52,794062500000003;52,779791666700000;-63,618749999999999
36;37;1;30;41;-63,614583333299997;52,791041666700004;52,779791666700000;-63,618749999999999
37;38;1;42;35;-63,696874999999999;52,776562499999997;52,783958333299999;-63,684375000000003
38;39;1;36;43;-63,682916666700002;52,783958333299999;52,775416666700004;-63,649999999999999
39;40;1;39;43;-63,661875000000002;52,782499999999999;52,775416666700004;-63,649999999999999
40;41;1;43;45;-63,649999999999999;52,775416666700004;52,774374999999999;-63,647083333300003
41;42;1;44;45;-63,651249999999997;52,774374999999999;52,774374999999999;-63,647083333300003
42;43;1;46;44;-63,652395833299998;52,773854166699998;52,774374999999999;-63,651249999999997
43;44;1;41;48;-63,618749999999999;52,779791666700000;52,772083333300003;-63,617916666699998
44;45;1;49;48;-63,629583333299998;52,768541666700003;52,772083333300003;-63,617916666699998
45;46;1;45;50;-63,647083333300003;52,774374999999999;52,768124999999998;-63,635833333299999
46;47;1;50;49;-63,635833333299999;52,768124999999998;52,768541666700003;-63,629583333299998
47;48;1;48;56;-63,617916666699998;52,772083333300003;52,764583333300003;-63,587916666700004
48;49;1;37;56;-63,560520833299996;52,783229166700004;52,764583333300003;-63,587916666700004
49;50;1;55;59;-63,737812499999997;52,764479166699999;52,763333333299997;-63,721874999999997
