FID,FID_,site_name,sample_nam,series,year,campaign,julian_day,sampling_d,sample_typ,soil_type,lat,long,km_hq,flow_dista,position,depth,depth_sate,secchi,width,elevation,elevation_,flow_accum,velocity_d,velocity_1,discharge_,velocity_2,discharge1,velocity_c,velocity_s,discharg_1,Seepage_me,strahler_s,slope,distance_t,distance_f,catchment_,atm_pressu,temp_water,do_perc_ys,do_cor_per,do_conc_ys,cond_ysi,ph_ysi,alkalinity,wind_max_k,wind_avg_k,temp_air_k,humidity_r,pressure_a,bact_abund,bact_abu_1,bact_produ,chla,chla_se,TP,TP_se,TN,TN_se,NH4,NH4_se,NOx,NOx_se,NO2,NO2_se,NO3,NO3_se,Fe,DOC,DOC_se,DIC,DIC_se,lability,lability_s,photodegra,photodeg_1,C1,C2,C3,C4,C5,C6,CDOM,pco2_heads,pco2_hea_1,pch4_heads,pch4_hea_1,pco2_hea_2,pco2_hea_3,pch4_hea_2,pch4_hea_3,pn2o_heads,pn2o_hea_1,flux_co2,flux_ch4,kco2_flux,kch4_flux,k600,kch4_k600,Rn,Rn_se,d13C_co2,d13C_co2_s,d13C_ch4,d13C_ch4_s,d2H_h2o,dO18_h2o,dO17_h2o,d13C_DOC,d13C_DIC,POM_PIM,POM_PIM_se,POM,PIM,POM_N_perc,POM_C_perc,POC,d13C_POM,Comments,sample_t_1,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,elev_m,flacc_px,slope_deg,strahler_o
0,16,PR-01A,PR01,PR,2015,1,158,2015-06-07 0:00:00,Stream,NA,51.368156999999997,-63.876955000000002,NA,2.95619,NA,0.720000000000000,NA,NA,0.51,NA,0,3261,NA,NA,NA,NA,NA,NA,NA,166.07,1.78; -0.96; -0.80,2,2.74832,NA,239.396727199999990,0.019826705000000,719.200000000000050,4.640000000000000,90.900000000000006,96.177747850000003,11.730000000000000,9,5.230000000000000,31.190212339999999,2.2,1.4,21.8,25.5,963,736500,15500,0.745065621000000,0.190615385000000,0.027230769000000,7.145587118000000,0.068537798000000,0.161838500000000,0.012093500000000,NA,NA,NA,NA,NA,NA,NA,NA,177.585000000000010,8.933504658000000,0.158475211000000,1.333119178,0.010707785,-0.013177256,NA,1.869706353000000,21.391305180000000,0.266360928000000,1.104073743000000,0.248348124000000,0.296040775000000,0.256821732000000,NA,5.642350000000000,1149.582699000000000,13.465398250000000,15.926571210000001,0.433069111000000,697.811320099999990,0.000000000000000,6.796704100000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,203.517026100000010,59.88786394,-18.534982200000002,0.000000000000000,-77.541814340000002,0.000000000000000,-111.777535,-15.654463,NA,-27.32,-21.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,26203,0.000128333333343,-63.877083333300000,51.368156999999997,529.1799927,5133.0000000,4.1746898,1
1,17,PR-01A,PR01.1,PR,2015,1,158,2015-06-07 0:00:00,Stream,NA,51.368156999999997,-63.876955000000002,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.396727199999990,0.019826705000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,NA,1.4,21.8,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,1149.582699000000000,13.465398250000000,15.926571210000001,0.433069111000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,259.5320166,NA,5.158615373,NA,9.218333603,NA,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,26203,0.000128333333343,-63.877083333300000,51.368156999999997,529.1799927,5133.0000000,4.1746898,1
2,18,PR-01A,PR01.2,PR,2015,1,158,2015-06-07 0:00:00,Stream,NA,51.368156999999997,-63.876955000000002,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.396727199999990,0.019826705000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,NA,1.4,21.8,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,1149.582699000000000,13.465398250000000,15.926571210000001,0.433069111000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,1180.685676,NA,23.46802277,NA,41.93684686,NA,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,26203,0.000128333333343,-63.877083333300000,51.368156999999997,529.1799927,5133.0000000,4.1746898,1
3,19,PR-01B,PR02,PR,2015,1,158,2015-06-07 0:00:00,Stream,NA,51.367190000000001,-63.877310000000001,NA,3.04895,NA,0.225000000000000,NA,NA,1.5,NA,0,3320,NA,NA,NA,NA,NA,NA,NA,70.39,NA,2,4.88075,NA,239.284110500000000,0.020160912000000,718.200000000000050,5.330000000000000,89.200000000000003,95.033113130000004,11.369999999999999,9,5.060000000000000,0.000000000000000,NA,1.4,21.8,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,8.853196274000000,0.191669344000000,1.23407217,0.008030838,NA,NA,0.000000000000000,0.000000000000000,0.277927611000000,1.070191931000000,0.244877046000000,0.299977719000000,0.245914353000000,NA,5.527200000000000,1157.115045999999900,18.909029109999999,14.270209749999999,0.044871122000000,827.401254099999960,0.000000000000000,9.874064856000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,219.043173900000000,51.176775,-19.436613240000000,0.000000000000000,-61.188190939999998,0.000000000000000,-112.080294,-15.704854,NA,-27.19,-21.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,26203,0.000088388347641,-63.877247500000003,51.367127500000002,525.6049805,5182.0000000,1.3954600,1
4,36,PR-03B,PR09,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.302540000000000,-63.870910000000002,NA,20.6292,NA,1.300000000000000,NA,NA,42.038,NA,0,189635,NA,NA,NA,NA,NA,NA,NA,9722.14,NA,5,2.15596,NA,232.018642800000010,1.336054294000000,718.500000000000000,8.410000000000000,97.900000000000006,101.481213600000000,11.250000000000000,8,6.540000000000000,22.117996160000001,NA,NA,NA,NA,NA,834000,1000,0.000000000000000,0.318600000000000,0.035400000000000,8.105116287000000,0.205613393000000,0.227088500000000,0.001466500000000,NA,NA,NA,NA,NA,NA,NA,NA,150.354999999999990,10.435271439999999,0.055145090000000,0.62,NA,-0.016713958,0.001196396,1.623520430000000,28.714307309999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,2.418150000000000,515.005416699999960,26.159741830000002,6.429833753000000,0.008850757000000,507.779040899999980,0.000000000000000,4.152793823000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,24.235192880000000,17.46682828,-15.215026280000000,0.000000000000000,-48.429635519999998,0.000000000000000,-105.007315,-14.896328,NA,-27.19,-15.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000137608543024,-63.871041666700002,51.302500000000002,497.1189880,311108.0000000,1.5527300,4
5,37,PR-03B,PR09.1,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.302540000000000,-63.870910000000002,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.018642800000010,1.336054294000000,718.500000000000000,8.410000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,5.2,1.8,13.5,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,515.005416699999960,26.159741830000002,6.429833753000000,0.008850757000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,11.96280161,0.013197113,1.503880247,1.387001847,2.303524955,2.13539485,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000137608543024,-63.871041666700002,51.302500000000002,497.1189880,311108.0000000,1.5527300,4
6,38,PR-03B,PR09.2,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.302540000000000,-63.870910000000002,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.018642800000010,1.336054294000000,718.500000000000000,8.410000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,1.7,1.1,13.5,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,515.005416699999960,26.159741830000002,6.429833753000000,0.008850757000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,86.70240594,0.114922098,10.89962368,12.07818387,16.69518248,18.59528283,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000137608543024,-63.871041666700002,51.302500000000002,497.1189880,311108.0000000,1.5527300,4
7,39,PR-03B,PR09.3,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.302540000000000,-63.870910000000002,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.018642800000010,1.336054294000000,718.500000000000000,8.410000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,4.4,3.1,13.5,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,515.005416699999960,26.159741830000002,6.429833753000000,0.008850757000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,83.99424097,0.126269308,10.559172,13.27076296,16.1737055,20.43134907,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000137608543024,-63.871041666700002,51.302500000000002,497.1189880,311108.0000000,1.5527300,4
8,40,PR-03A,PR10,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.303572000000003,-63.869197000000000,NA,20.8572,NA,0.860000000000000,NA,NA,21,NA,0,190488,NA,NA,NA,NA,NA,NA,NA,8378.73,NA,5,2.15596,NA,231.858642800000010,1.344079596000000,719.399999999999980,8.619999999999999,96.400000000000006,101.778828000000000,11.240000000000000,8,6.460000000000000,0.000000000000000,3.5,0.6,13.5,53.2,968.2,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,7.094240838000000,0.081675393000000,1.210471204,0.015706806,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,3.799950000000000,590.151375799999980,82.695713780000005,53.350436610000003,30.289954430000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,10.004424719999999,20.3581285,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-105.065503,-14.900873,NA,-27.26,-17.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000147313912757,-63.869301166699998,51.303467833299997,494.6010132,313164.0000000,0.6650490,4
9,41,PR-03A,PR10.1,PR,2015,1,165,2015-06-14 0:00:00,Stream,NA,51.303572000000003,-63.869197000000000,NA,NA,NA,0.000000000000000,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.858642800000010,1.344079596000000,719.399999999999980,8.619999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,4,2.2,13.5,NA,NA,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,590.151375799999980,82.695713780000005,53.350436610000003,30.289954430000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,34.45046877,0.104058533,2.841059107,0.996545978,4.315049536,1.521724635,0.000000000000000,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream,27409,0.000147313912757,-63.869301166699998,51.303467833299997,494.6010132,313164.0000000,0.6650490,4
